full_text,cleaning,case_folding,tokenize,filtering/stopword removal,steaming_data
IISMA! yang udah yakin mau co funding temenan yukk,IISMA yang udah yakin mau co funding temenan yukk,iisma yang udah yakin mau co funding temenan yukk,"['iisma', 'yang', 'udah', 'yakin', 'mau', 'co', 'funding', 'temenan', 'yukk']","['iisma', 'udah', 'co', 'funding', 'temenan', 'yukk']",iisma udah co funding temenan yukk
@n0dned bro gue nonton juga lg KWKWKW,ndned bro gue nonton juga lg KWKWKW,ndned bro gue nonton juga lg kwkwkw,"['ndned', 'bro', 'gue', 'nonton', 'juga', 'lg', 'kwkwkw']","['ndned', 'bro', 'gue', 'nonton', 'lg', 'kwkwkw']",ndned bro gue nonton lg kwkwkw
HAHAHHA LUCU BGT MAKASIH DAH BIKIN MOOD GW MEMBAIK,HAHAHHA LUCU BGT MAKASIH DAH BIKIN MOOD GW MEMBAIK,hahahha lucu bgt makasih dah bikin mood gw membaik,"['hahahha', 'lucu', 'bgt', 'makasih', 'dah', 'bikin', 'mood', 'gw', 'membaik']","['hahahha', 'lucu', 'bgt', 'makasih', 'dah', 'bikin', 'mood', 'gw', 'membaik']",hahahha lucu bgt makasih dah bikin mood gw baik
semoga sambatan gw disini masih dibatas wajar,semoga sambatan gw disini masih dibatas wajar,semoga sambatan gw disini masih dibatas wajar,"['semoga', 'sambatan', 'gw', 'disini', 'masih', 'dibatas', 'wajar']","['semoga', 'sambatan', 'gw', 'dibatas', 'wajar']",moga sambat gw batas wajar
agak good mood pas liat jokes dan naga wkwkwk random bgt gw bejir,agak good mood pas liat jokes dan naga wkwkwk random bgt gw bejir,agak good mood pas liat jokes dan naga wkwkwk random bgt gw bejir,"['agak', 'good', 'mood', 'pas', 'liat', 'jokes', 'dan', 'naga', 'wkwkwk', 'random', 'bgt', 'gw', 'bejir']","['good', 'mood', 'pas', 'liat', 'jokes', 'naga', 'wkwkwk', 'random', 'bgt', 'gw', 'bejir']",good mood pas liat jokes naga wkwkwk random bgt gw bejir
@Ieowon Jatah iisma lu buat gw aj,Ieowon Jatah iisma lu buat gw aj,ieowon jatah iisma lu buat gw aj,"['ieowon', 'jatah', 'iisma', 'lu', 'buat', 'gw', 'aj']","['ieowon', 'jatah', 'iisma', 'lu', 'gw', 'aj']",ieowon jatah iisma lu gw aj
hadeh senin kembali ngampus while being fomo w/ the others yg dah pada mudik,hadeh senin kembali ngampus while being fomo w the others yg dah pada mudik,hadeh senin kembali ngampus while being fomo w the others yg dah pada mudik,"['hadeh', 'senin', 'kembali', 'ngampus', 'while', 'being', 'fomo', 'w', 'the', 'others', 'yg', 'dah', 'pada', 'mudik']","['hadeh', 'senin', 'ngampus', 'while', 'being', 'fomo', 'w', 'the', 'others', 'yg', 'dah', 'mudik']",hadeh senin ngampus while being fomo w the others yg dah mudik
Omg adu nasib paling tidak berguna yg pernah gw baca,Omg adu nasib paling tidak berguna yg pernah gw baca,omg adu nasib paling tidak berguna yg pernah gw baca,"['omg', 'adu', 'nasib', 'paling', 'tidak', 'berguna', 'yg', 'pernah', 'gw', 'baca']","['omg', 'adu', 'nasib', 'berguna', 'yg', 'gw', 'baca']",omg adu nasib guna yg gw baca
the only way yg bs buat gw senyum skrg kayaknya kukis matcha nya ayes,the only way yg bs buat gw senyum skrg kayaknya kukis matcha nya ayes,the only way yg bs buat gw senyum skrg kayaknya kukis matcha nya ayes,"['the', 'only', 'way', 'yg', 'bs', 'buat', 'gw', 'senyum', 'skrg', 'kayaknya', 'kukis', 'matcha', 'nya', 'ayes']","['the', 'only', 'way', 'yg', 'bs', 'gw', 'senyum', 'skrg', 'kayaknya', 'kukis', 'matcha', 'nya', 'ayes']",the only way yg bs gw senyum skrg kayak kuk matcha nya ayes
Asal ada paman bisa harusnya,Asal ada paman bisa harusnya,asal ada paman bisa harusnya,"['asal', 'ada', 'paman', 'bisa', 'harusnya']",['paman'],paman
Mau nangis kek i dont feel so okay with everything semuanya kek salah.,Mau nangis kek i dont feel so okay with everything semuanya kek salah,mau nangis kek i dont feel so okay with everything semuanya kek salah,"['mau', 'nangis', 'kek', 'i', 'dont', 'feel', 'so', 'okay', 'with', 'everything', 'semuanya', 'kek', 'salah']","['nangis', 'kek', 'i', 'dont', 'feel', 'so', 'okay', 'with', 'everything', 'kek', 'salah']",nang kek i dont feel so okay with everything kek salah
DAMN (demi apapun mau nangis),DAMN demi apapun mau nangis,damn demi apapun mau nangis,"['damn', 'demi', 'apapun', 'mau', 'nangis']","['damn', 'apapun', 'nangis']",damn apa nang
Anyway waktu gue buat essai iisma tuh gue lagu di salah satu lowest point of my life due to family issues. Gue sbg anak pertama tuh sgt amat merasakan bebannya sampe gue ke psikolog. Guess what? I used it as my hook for my essay https://t.co/6I38nEMLfV,Anyway waktu gue buat essai iisma tuh gue lagu di salah satu lowest point of my life due to family issues Gue sbg anak pertama tuh sgt amat merasakan bebannya sampe gue ke psikolog Guess what I used it as my hook for my essay ,anyway waktu gue buat essai iisma tuh gue lagu di salah satu lowest point of my life due to family issues gue sbg anak pertama tuh sgt amat merasakan bebannya sampe gue ke psikolog guess what i used it as my hook for my essay ,"['anyway', 'waktu', 'gue', 'buat', 'essai', 'iisma', 'tuh', 'gue', 'lagu', 'di', 'salah', 'satu', 'lowest', 'point', 'of', 'my', 'life', 'due', 'to', 'family', 'issues', 'gue', 'sbg', 'anak', 'pertama', 'tuh', 'sgt', 'amat', 'merasakan', 'bebannya', 'sampe', 'gue', 'ke', 'psikolog', 'guess', 'what', 'i', 'used', 'it', 'as', 'my', 'hook', 'for', 'my', 'essay']","['anyway', 'gue', 'essai', 'iisma', 'tuh', 'gue', 'lagu', 'salah', 'lowest', 'point', 'of', 'my', 'life', 'due', 'to', 'family', 'issues', 'gue', 'sbg', 'anak', 'tuh', 'sgt', 'merasakan', 'bebannya', 'sampe', 'gue', 'psikolog', 'guess', 'what', 'i', 'used', 'it', 'as', 'my', 'hook', 'for', 'my', 'essay']",anyway gue essai iisma tuh gue lagu salah lowest point of my life due to family issues gue sbg anak tuh sgt rasa beban sampe gue psikolog guess what i used it as my hook for my essay
mff bgt gue bkn tipe org yg segabut itu utk memahami kode lu klo emg ada yg mw disampaikan pls lgsng aja gausah pake isyarat yg memusingkan dgn makna berlapis yg tidak berfaedah. Keep it simple and clear please.,mff bgt gue bkn tipe org yg segabut itu utk memahami kode lu klo emg ada yg mw disampaikan pls lgsng aja gausah pake isyarat yg memusingkan dgn makna berlapis yg tidak berfaedah Keep it simple and clear please,mff bgt gue bkn tipe org yg segabut itu utk memahami kode lu klo emg ada yg mw disampaikan pls lgsng aja gausah pake isyarat yg memusingkan dgn makna berlapis yg tidak berfaedah keep it simple and clear please,"['mff', 'bgt', 'gue', 'bkn', 'tipe', 'org', 'yg', 'segabut', 'itu', 'utk', 'memahami', 'kode', 'lu', 'klo', 'emg', 'ada', 'yg', 'mw', 'disampaikan', 'pls', 'lgsng', 'aja', 'gausah', 'pake', 'isyarat', 'yg', 'memusingkan', 'dgn', 'makna', 'berlapis', 'yg', 'tidak', 'berfaedah', 'keep', 'it', 'simple', 'and', 'clear', 'please']","['mff', 'bgt', 'gue', 'bkn', 'tipe', 'org', 'yg', 'segabut', 'utk', 'memahami', 'kode', 'lu', 'klo', 'emg', 'yg', 'mw', 'pls', 'lgsng', 'aja', 'gausah', 'pake', 'isyarat', 'yg', 'memusingkan', 'dgn', 'makna', 'berlapis', 'yg', 'berfaedah', 'keep', 'it', 'simple', 'and', 'clear', 'please']",mff bgt gue bkn tipe org yg segabut utk paham kode lu klo emg yg mw pls lgsng aja gausah pake isyarat yg pusing dgn makna lap yg faedah keep it simple and clear please
post-iisma goodness: jd anker (anak kereta),postiisma goodness jd anker anak kereta,postiisma goodness jd anker anak kereta,"['postiisma', 'goodness', 'jd', 'anker', 'anak', 'kereta']","['postiisma', 'goodness', 'jd', 'anker', 'anak', 'kereta']",postiisma goodness jd anker anak kereta
Kemaren dibilang silakan take care of yourself giliran gw beneran ngelakuin itu dibilang lagi gatau terima kasih dan ga pekaan ya mau lu apa sih? Kasitau aja gausah main kode gw gangerti dan gamau ribet jd pls be frontal,Kemaren dibilang silakan take care of yourself giliran gw beneran ngelakuin itu dibilang lagi gatau terima kasih dan ga pekaan ya mau lu apa sih Kasitau aja gausah main kode gw gangerti dan gamau ribet jd pls be frontal,kemaren dibilang silakan take care of yourself giliran gw beneran ngelakuin itu dibilang lagi gatau terima kasih dan ga pekaan ya mau lu apa sih kasitau aja gausah main kode gw gangerti dan gamau ribet jd pls be frontal,"['kemaren', 'dibilang', 'silakan', 'take', 'care', 'of', 'yourself', 'giliran', 'gw', 'beneran', 'ngelakuin', 'itu', 'dibilang', 'lagi', 'gatau', 'terima', 'kasih', 'dan', 'ga', 'pekaan', 'ya', 'mau', 'lu', 'apa', 'sih', 'kasitau', 'aja', 'gausah', 'main', 'kode', 'gw', 'gangerti', 'dan', 'gamau', 'ribet', 'jd', 'pls', 'be', 'frontal']","['kemaren', 'dibilang', 'silakan', 'take', 'care', 'of', 'yourself', 'giliran', 'gw', 'beneran', 'ngelakuin', 'dibilang', 'gatau', 'terima', 'kasih', 'ga', 'pekaan', 'ya', 'lu', 'sih', 'kasitau', 'aja', 'gausah', 'main', 'kode', 'gw', 'gangerti', 'gamau', 'ribet', 'jd', 'pls', 'be', 'frontal']",kemaren bilang sila take care of yourself gilir gw beneran ngelakuin bilang gatau terima kasih ga peka ya lu sih kasitau aja gausah main kode gw gangerti gamau ribet jd pls be frontal
@nasigoreing DEMIAPAPUN MFF BARU LIATT,nasigoreing DEMIAPAPUN MFF BARU LIATT,nasigoreing demiapapun mff baru liatt,"['nasigoreing', 'demiapapun', 'mff', 'baru', 'liatt']","['nasigoreing', 'demiapapun', 'mff', 'liatt']",nasigoreing apa mff liatt
@hannncill juara 1 harapan gue,hannncill juara  harapan gue,hannncill juara  harapan gue,"['hannncill', 'juara', 'harapan', 'gue']","['hannncill', 'juara', 'harapan', 'gue']",hannncill juara harap gue
Fase gamon iisma ini kayaknya bakal sembuh kalo dapet kesempatan study abroad lagi dah ,Fase gamon iisma ini kayaknya bakal sembuh kalo dapet kesempatan study abroad lagi dah ,fase gamon iisma ini kayaknya bakal sembuh kalo dapet kesempatan study abroad lagi dah ,"['fase', 'gamon', 'iisma', 'ini', 'kayaknya', 'bakal', 'sembuh', 'kalo', 'dapet', 'kesempatan', 'study', 'abroad', 'lagi', 'dah']","['fase', 'gamon', 'iisma', 'kayaknya', 'sembuh', 'kalo', 'dapet', 'kesempatan', 'study', 'abroad', 'dah']",fase gamon iisma kayak sembuh kalo dapet sempat study abroad dah
Ini bukan program MBKM yang IISMA itu bukan magang tapi pertukaran mahasiswa ke LN jadi jangan bawa MBKM itu beda..krna aku juga termasuk yang ikut Program Kampus Merdeka.,Ini bukan program MBKM yang IISMA itu bukan magang tapi pertukaran mahasiswa ke LN jadi jangan bawa MBKM itu bedakrna aku juga termasuk yang ikut Program Kampus Merdeka,ini bukan program mbkm yang iisma itu bukan magang tapi pertukaran mahasiswa ke ln jadi jangan bawa mbkm itu bedakrna aku juga termasuk yang ikut program kampus merdeka,"['ini', 'bukan', 'program', 'mbkm', 'yang', 'iisma', 'itu', 'bukan', 'magang', 'tapi', 'pertukaran', 'mahasiswa', 'ke', 'ln', 'jadi', 'jangan', 'bawa', 'mbkm', 'itu', 'bedakrna', 'aku', 'juga', 'termasuk', 'yang', 'ikut', 'program', 'kampus', 'merdeka']","['program', 'mbkm', 'iisma', 'magang', 'pertukaran', 'mahasiswa', 'ln', 'bawa', 'mbkm', 'bedakrna', 'program', 'kampus', 'merdeka']",program mbkm iisma magang tukar mahasiswa ln bawa mbkm bedakrna program kampus merdeka
Mau ngulang iisma lagi boleh gasi,Mau ngulang iisma lagi boleh gasi,mau ngulang iisma lagi boleh gasi,"['mau', 'ngulang', 'iisma', 'lagi', 'boleh', 'gasi']","['ngulang', 'iisma', 'gasi']",ngulang iisma gas
@kegabutanagata gue dukung,kegabutanagata gue dukung,kegabutanagata gue dukung,"['kegabutanagata', 'gue', 'dukung']","['kegabutanagata', 'gue', 'dukung']",kegabutanagata gue dukung
never have i ever thought bakal kangen nonton windah basudara tp kangen nonton windah basudara sama indira maia,never have i ever thought bakal kangen nonton windah basudara tp kangen nonton windah basudara sama indira maia,never have i ever thought bakal kangen nonton windah basudara tp kangen nonton windah basudara sama indira maia,"['never', 'have', 'i', 'ever', 'thought', 'bakal', 'kangen', 'nonton', 'windah', 'basudara', 'tp', 'kangen', 'nonton', 'windah', 'basudara', 'sama', 'indira', 'maia']","['never', 'have', 'i', 'ever', 'thought', 'kangen', 'nonton', 'windah', 'basudara', 'tp', 'kangen', 'nonton', 'windah', 'basudara', 'indira', 'maia']",never have i ever thought kangen nonton windah basudara tp kangen nonton windah basudara indira maia
@talentlessme ANJAAYY KEREN BGT SR SATU INII SEMANGAT SAYANGKUU &lt;3,talentlessme ANJAAYY KEREN BGT SR SATU INII SEMANGAT SAYANGKUU lt,talentlessme anjaayy keren bgt sr satu inii semangat sayangkuu lt,"['talentlessme', 'anjaayy', 'keren', 'bgt', 'sr', 'satu', 'inii', 'semangat', 'sayangkuu', 'lt']","['talentlessme', 'anjaayy', 'keren', 'bgt', 'sr', 'inii', 'semangat', 'sayangkuu', 'lt']",talentlessme anjaayy keren bgt sr ini semangat sayangkuu lt
aku relate sekaliii. waktu ngurus iisma sana sini aku ngerasa bersalah trs grgr ibun keluar banyak duit. tiap di kosan selalu nangis karena takut hasilnya ga sesuai tapi alhamdulillah aku lolos! ibun jg not from the rich mana anaknya ga cuman aku doang t___t,aku relate sekaliii waktu ngurus iisma sana sini aku ngerasa bersalah trs grgr ibun keluar banyak duit tiap di kosan selalu nangis karena takut hasilnya ga sesuai tapi alhamdulillah aku lolos ibun jg not from the rich mana anaknya ga cuman aku doang tt,aku relate sekaliii waktu ngurus iisma sana sini aku ngerasa bersalah trs grgr ibun keluar banyak duit tiap di kosan selalu nangis karena takut hasilnya ga sesuai tapi alhamdulillah aku lolos ibun jg not from the rich mana anaknya ga cuman aku doang tt,"['aku', 'relate', 'sekaliii', 'waktu', 'ngurus', 'iisma', 'sana', 'sini', 'aku', 'ngerasa', 'bersalah', 'trs', 'grgr', 'ibun', 'keluar', 'banyak', 'duit', 'tiap', 'di', 'kosan', 'selalu', 'nangis', 'karena', 'takut', 'hasilnya', 'ga', 'sesuai', 'tapi', 'alhamdulillah', 'aku', 'lolos', 'ibun', 'jg', 'not', 'from', 'the', 'rich', 'mana', 'anaknya', 'ga', 'cuman', 'aku', 'doang', 'tt']","['relate', 'sekaliii', 'ngurus', 'iisma', 'ngerasa', 'bersalah', 'trs', 'grgr', 'ibun', 'duit', 'kosan', 'nangis', 'takut', 'hasilnya', 'ga', 'sesuai', 'alhamdulillah', 'lolos', 'ibun', 'jg', 'not', 'from', 'the', 'rich', 'anaknya', 'ga', 'cuman', 'doang', 'tt']",relate sekaliii ngurus iisma ngerasa salah trs grgr ibun duit kosan nang takut hasil ga sesuai alhamdulillah lolos ibun jg not from the rich anak ga cuman doang tt
belum jadi iisma awardee 2024 tapi jadi Bank Indonesia scholarship awardee. God is good,belum jadi iisma awardee  tapi jadi Bank Indonesia scholarship awardee God is good,belum jadi iisma awardee  tapi jadi bank indonesia scholarship awardee god is good,"['belum', 'jadi', 'iisma', 'awardee', 'tapi', 'jadi', 'bank', 'indonesia', 'scholarship', 'awardee', 'god', 'is', 'good']","['iisma', 'awardee', 'bank', 'indonesia', 'scholarship', 'awardee', 'god', 'is', 'good']",iisma awardee bank indonesia scholarship awardee god is good
pesona IISMA awardee https://t.co/OEVOyCoSiB,pesona IISMA awardee ,pesona iisma awardee ,"['pesona', 'iisma', 'awardee']","['pesona', 'iisma', 'awardee']",pesona iisma awardee
bjirrrr dokyeom encore aju nice sampe celananya robek : D,bjirrrr dokyeom encore aju nice sampe celananya robek  D,bjirrrr dokyeom encore aju nice sampe celananya robek  d,"['bjirrrr', 'dokyeom', 'encore', 'aju', 'nice', 'sampe', 'celananya', 'robek', 'd']","['bjirrrr', 'dokyeom', 'encore', 'aju', 'nice', 'sampe', 'celananya', 'robek', 'd']",bjirrrr dokyeom encore aju nice sampe celana robek d
kk awardee iisma! co-fund ke UK ada yang lagi senggang dan bisa di tanya-tanya ga malam ini? terima kasih ️,kk awardee iisma cofund ke UK ada yang lagi senggang dan bisa di tanyatanya ga malam ini terima kasih ,kk awardee iisma cofund ke uk ada yang lagi senggang dan bisa di tanyatanya ga malam ini terima kasih ,"['kk', 'awardee', 'iisma', 'cofund', 'ke', 'uk', 'ada', 'yang', 'lagi', 'senggang', 'dan', 'bisa', 'di', 'tanyatanya', 'ga', 'malam', 'ini', 'terima', 'kasih']","['kk', 'awardee', 'iisma', 'cofund', 'uk', 'senggang', 'tanyatanya', 'ga', 'malam', 'terima', 'kasih']",kk awardee iisma cofund uk senggang tanyatanya ga malam terima kasih
guys klo ini bisa coret semuanya ga sih? aku mahasiswa snmptn biasa https://t.co/Qq5NtdLKl3,guys klo ini bisa coret semuanya ga sih aku mahasiswa snmptn biasa ,guys klo ini bisa coret semuanya ga sih aku mahasiswa snmptn biasa ,"['guys', 'klo', 'ini', 'bisa', 'coret', 'semuanya', 'ga', 'sih', 'aku', 'mahasiswa', 'snmptn', 'biasa']","['guys', 'klo', 'coret', 'ga', 'sih', 'mahasiswa', 'snmptn']",guys klo coret ga sih mahasiswa snmptn
@semirnoff_ @Ezraa__ pp selalu bikin emosi jir,semirnoff Ezraa pp selalu bikin emosi jir,semirnoff ezraa pp selalu bikin emosi jir,"['semirnoff', 'ezraa', 'pp', 'selalu', 'bikin', 'emosi', 'jir']","['semirnoff', 'ezraa', 'pp', 'bikin', 'emosi', 'jir']",semirnoff ezraa pp bikin emosi jir
@oeuvrelegy dia kalau lolos iisma ambil kampus apa ya,oeuvrelegy dia kalau lolos iisma ambil kampus apa ya,oeuvrelegy dia kalau lolos iisma ambil kampus apa ya,"['oeuvrelegy', 'dia', 'kalau', 'lolos', 'iisma', 'ambil', 'kampus', 'apa', 'ya']","['oeuvrelegy', 'lolos', 'iisma', 'ambil', 'kampus', 'ya']",oeuvrelegy lolos iisma ambil kampus ya
@woonhakthekid bismillah awardee iisma yale 25,woonhakthekid bismillah awardee iisma yale ,woonhakthekid bismillah awardee iisma yale ,"['woonhakthekid', 'bismillah', 'awardee', 'iisma', 'yale']","['woonhakthekid', 'bismillah', 'awardee', 'iisma', 'yale']",woonhakthekid bismillah awardee iisma yale
@woonhakthekid RANDOM BGT JADI IISMA,woonhakthekid RANDOM BGT JADI IISMA,woonhakthekid random bgt jadi iisma,"['woonhakthekid', 'random', 'bgt', 'jadi', 'iisma']","['woonhakthekid', 'random', 'bgt', 'iisma']",woonhakthekid random bgt iisma
naksir sejadinya jadinya anjinggg fluent bgt jaehyun bismillah semester depan iisma,naksir sejadinya jadinya anjinggg fluent bgt jaehyun bismillah semester depan iisma,naksir sejadinya jadinya anjinggg fluent bgt jaehyun bismillah semester depan iisma,"['naksir', 'sejadinya', 'jadinya', 'anjinggg', 'fluent', 'bgt', 'jaehyun', 'bismillah', 'semester', 'depan', 'iisma']","['naksir', 'sejadinya', 'anjinggg', 'fluent', 'bgt', 'jaehyun', 'bismillah', 'semester', 'iisma']",naksir jadi anjinggg fluent bgt jaehyun bismillah semester iisma
@UGM_FESS Nurul ashri mardliyah pogung raya mpd,UGMFESS Nurul ashri mardliyah pogung raya mpd,ugmfess nurul ashri mardliyah pogung raya mpd,"['ugmfess', 'nurul', 'ashri', 'mardliyah', 'pogung', 'raya', 'mpd']","['ugmfess', 'nurul', 'ashri', 'mardliyah', 'pogung', 'raya', 'mpd']",ugmfess nurul ashri mardliyah pogung raya mpd
ini dorongan dari mana gue tiba2 mau iisma......,ini dorongan dari mana gue tiba mau iisma,ini dorongan dari mana gue tiba mau iisma,"['ini', 'dorongan', 'dari', 'mana', 'gue', 'tiba', 'mau', 'iisma']","['dorongan', 'gue', 'iisma']",dorong gue iisma
@cimowyregal KEREN BANGET! ,cimowyregal KEREN BANGET ,cimowyregal keren banget ,"['cimowyregal', 'keren', 'banget']","['cimowyregal', 'keren', 'banget']",cimowyregal keren banget
Orang2 indo pada idolain arab padahal arab2 pandang rendah orang indo‍️,Orang indo pada idolain arab padahal arab pandang rendah orang indo,orang indo pada idolain arab padahal arab pandang rendah orang indo,"['orang', 'indo', 'pada', 'idolain', 'arab', 'padahal', 'arab', 'pandang', 'rendah', 'orang', 'indo']","['orang', 'indo', 'idolain', 'arab', 'arab', 'pandang', 'rendah', 'orang', 'indo']",orang indo idolain arab arab pandang rendah orang indo
@aubr3yplaza GASSS SBLM KAMU IISMA,aubryplaza GASSS SBLM KAMU IISMA,aubryplaza gasss sblm kamu iisma,"['aubryplaza', 'gasss', 'sblm', 'kamu', 'iisma']","['aubryplaza', 'gasss', 'sblm', 'iisma']",aubryplaza gasss sblm iisma
@aquariusboy_1 Asli euy wishlist gakepenuhi terus,aquariusboy Asli euy wishlist gakepenuhi terus,aquariusboy asli euy wishlist gakepenuhi terus,"['aquariusboy', 'asli', 'euy', 'wishlist', 'gakepenuhi', 'terus']","['aquariusboy', 'asli', 'euy', 'wishlist', 'gakepenuhi']",aquariusboy asli euy wishlist gakepenuhi
iisma nih questionable yaa pilihannya tp gw kepilih,iisma nih questionable yaa pilihannya tp gw kepilih,iisma nih questionable yaa pilihannya tp gw kepilih,"['iisma', 'nih', 'questionable', 'yaa', 'pilihannya', 'tp', 'gw', 'kepilih']","['iisma', 'nih', 'questionable', 'yaa', 'pilihannya', 'tp', 'gw', 'kepilih']",iisma nih questionable yaa pilih tp gw pilih
Bujetttt mulai stress gwehh -UTS -IISMA -KERJAAN lu maju gua tidur.,Bujetttt mulai stress gwehh UTS IISMA KERJAAN lu maju gua tidur,bujetttt mulai stress gwehh uts iisma kerjaan lu maju gua tidur,"['bujetttt', 'mulai', 'stress', 'gwehh', 'uts', 'iisma', 'kerjaan', 'lu', 'maju', 'gua', 'tidur']","['bujetttt', 'stress', 'gwehh', 'uts', 'iisma', 'kerjaan', 'lu', 'maju', 'gua', 'tidur']",bujetttt stress gwehh uts iisma kerja lu maju gua tidur
iisma siapanya iis dahlia,iisma siapanya iis dahlia,iisma siapanya iis dahlia,"['iisma', 'siapanya', 'iis', 'dahlia']","['iisma', 'siapanya', 'iis', 'dahlia']",iisma siapa iis dahlia
Aaa daritadi mati lampu aaa gabisa bgtt,Aaa daritadi mati lampu aaa gabisa bgtt,aaa daritadi mati lampu aaa gabisa bgtt,"['aaa', 'daritadi', 'mati', 'lampu', 'aaa', 'gabisa', 'bgtt']","['aaa', 'daritadi', 'mati', 'lampu', 'aaa', 'gabisa', 'bgtt']",aaa daritadi mati lampu aaa gabisa bgtt
Keren banget wei tahun ini yang lolos IISMA di kampus ada 17 orang tahun lalu cuma 10. Semangat study abroad nya adik2 ,Keren banget wei tahun ini yang lolos IISMA di kampus ada  orang tahun lalu cuma  Semangat study abroad nya adik ,keren banget wei tahun ini yang lolos iisma di kampus ada  orang tahun lalu cuma  semangat study abroad nya adik ,"['keren', 'banget', 'wei', 'tahun', 'ini', 'yang', 'lolos', 'iisma', 'di', 'kampus', 'ada', 'orang', 'tahun', 'lalu', 'cuma', 'semangat', 'study', 'abroad', 'nya', 'adik']","['keren', 'banget', 'wei', 'lolos', 'iisma', 'kampus', 'orang', 'semangat', 'study', 'abroad', 'nya', 'adik']",keren banget wei lolos iisma kampus orang semangat study abroad nya adik
@rjosefano02 hai ci sini iisma lagi,rjosefano hai ci sini iisma lagi,rjosefano hai ci sini iisma lagi,"['rjosefano', 'hai', 'ci', 'sini', 'iisma', 'lagi']","['rjosefano', 'hai', 'ci', 'iisma']",rjosefano hai ci iisma
CEPAT IDUPIN LAMPUNYA AHHH,CEPAT IDUPIN LAMPUNYA AHHH,cepat idupin lampunya ahhh,"['cepat', 'idupin', 'lampunya', 'ahhh']","['cepat', 'idupin', 'lampunya', 'ahhh']",cepat idupin lampu ahhh
BURUAN IDUPIN LAMPUNYA ARGHHH,BURUAN IDUPIN LAMPUNYA ARGHHH,buruan idupin lampunya arghhh,"['buruan', 'idupin', 'lampunya', 'arghhh']","['buruan', 'idupin', 'lampunya', 'arghhh']",buru idupin lampu arghhh
ternyata katingku (beda fakultas) ada yg lolos iisma wow,ternyata katingku beda fakultas ada yg lolos iisma wow,ternyata katingku beda fakultas ada yg lolos iisma wow,"['ternyata', 'katingku', 'beda', 'fakultas', 'ada', 'yg', 'lolos', 'iisma', 'wow']","['katingku', 'beda', 'fakultas', 'yg', 'lolos', 'iisma', 'wow']",katingku beda fakultas yg lolos iisma wow
@L1LICORE lu pake high heels ga sih,LLICORE lu pake high heels ga sih,llicore lu pake high heels ga sih,"['llicore', 'lu', 'pake', 'high', 'heels', 'ga', 'sih']","['llicore', 'lu', 'pake', 'high', 'heels', 'ga', 'sih']",llicore lu pake high heels ga sih
Cycle of life: sd tarung buat masuk smp favorit - smp tarung buat masuk sma favorit - sma tarung buat dapet ptn top 10 - pas kuliah tarung buat dapet msib/iisma - kerja tarung buat masuk pns/bumn/perusahaan bonafide Kesimpulan: pajak lu tetep dimakanin ani aninya eselon 1,Cycle of life sd tarung buat masuk smp favorit  smp tarung buat masuk sma favorit  sma tarung buat dapet ptn top   pas kuliah tarung buat dapet msibiisma  kerja tarung buat masuk pnsbumnperusahaan bonafide Kesimpulan pajak lu tetep dimakanin ani aninya eselon ,cycle of life sd tarung buat masuk smp favorit  smp tarung buat masuk sma favorit  sma tarung buat dapet ptn top   pas kuliah tarung buat dapet msibiisma  kerja tarung buat masuk pnsbumnperusahaan bonafide kesimpulan pajak lu tetep dimakanin ani aninya eselon ,"['cycle', 'of', 'life', 'sd', 'tarung', 'buat', 'masuk', 'smp', 'favorit', 'smp', 'tarung', 'buat', 'masuk', 'sma', 'favorit', 'sma', 'tarung', 'buat', 'dapet', 'ptn', 'top', 'pas', 'kuliah', 'tarung', 'buat', 'dapet', 'msibiisma', 'kerja', 'tarung', 'buat', 'masuk', 'pnsbumnperusahaan', 'bonafide', 'kesimpulan', 'pajak', 'lu', 'tetep', 'dimakanin', 'ani', 'aninya', 'eselon']","['cycle', 'of', 'life', 'sd', 'tarung', 'masuk', 'smp', 'favorit', 'smp', 'tarung', 'masuk', 'sma', 'favorit', 'sma', 'tarung', 'dapet', 'ptn', 'top', 'pas', 'kuliah', 'tarung', 'dapet', 'msibiisma', 'kerja', 'tarung', 'masuk', 'pnsbumnperusahaan', 'bonafide', 'kesimpulan', 'pajak', 'lu', 'tetep', 'dimakanin', 'ani', 'aninya', 'eselon']",cycle of life sd tarung masuk smp favorit smp tarung masuk sma favorit sma tarung dapet ptn top pas kuliah tarung dapet msibiisma kerja tarung masuk pnsbumnperusahaan bonafide simpul pajak lu tetep dimakanin ani ani eselon
